/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:409: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:423: [PIN-YML-006] Invalid value 'missing'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:448: [PIN-YML-006] Invalid value 'Key'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:457: [PIN-YML-006] Invalid value 'Plugin'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:459: [PIN-YML-006] Invalid value 'ALLOWED_PLUGINS'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:463: [PIN-YML-006] Invalid value 'ALLOWED_PLUGINS'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:514: [PIN-YML-006] Invalid value 'ALLOWED_PLUGINS'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:517: [PIN-YML-006] Invalid value 'Embedding'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:539: [PIN-YML-006] Invalid value 'If'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:545: [PIN-YML-006] Invalid value 'image'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:554: [PIN-YML-006] Invalid value 'security'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:592: [PIN-YML-006] Invalid value 'RAG'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:609: [PIN-YML-006] Invalid value 'RAG'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:612: [PIN-YML-006] Invalid value 'Add'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:618: [PIN-YML-006] Invalid value 'Create'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:626: [PIN-YML-006] Invalid value 'Top'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:629: [PIN-YML-006] Invalid value 'ParserOutput'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:630: [PIN-YML-006] Invalid value 'Add'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:631: [PIN-YML-006] Invalid value 'Full'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:645: [PIN-YML-006] Invalid value 'extra'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:646: [PIN-YML-006] Invalid value 'DoxBaseModel'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:648: [PIN-YML-006] Invalid value 'Switch'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:649: [PIN-YML-006] Invalid value 'DoxBaseModel'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:661: [PIN-YML-006] Invalid value 'str'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:664: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:665: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:666: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:667: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:678: [PIN-YML-006] Invalid value '0'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:679: [PIN-YML-006] Invalid value '0'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:680: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:681: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:682: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:683: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:684: [PIN-YML-006] Invalid value 'False'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:699: [PIN-YML-006] Invalid value 'None'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:737: [PIN-YML-006] Invalid value 'Create'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:743: [PIN-YML-006] Invalid value 'Minimal'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:759: [PIN-YML-006] Invalid value 'Top'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:810: [PIN-YML-006] Invalid value 'Early'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:837: [PIN-YML-006] Invalid value 'Script'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:839: [PIN-YML-006] Invalid value 'Dangerous'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:859: [PIN-YML-006] Invalid value 'links'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:863: [PIN-YML-006] Invalid value 'alert'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:873: [PIN-YML-006] Invalid value 'should'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:884: [PIN-YML-006] Invalid value 'javascript'. Must be one of: uv, npm, cargo, go, poetry, pipenv
