/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:474: [PIN-YML-006] Invalid value 'tools'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:488: [PIN-YML-006] Invalid value 'Security'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:507: [PIN-YML-006] Invalid value 'dict'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:521: [PIN-YML-006] Invalid value 'missing'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:546: [PIN-YML-006] Invalid value 'Key'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:555: [PIN-YML-006] Invalid value 'Plugin'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:557: [PIN-YML-006] Invalid value 'ALLOWED_PLUGINS'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:561: [PIN-YML-006] Invalid value 'ALLOWED_PLUGINS'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:612: [PIN-YML-006] Invalid value 'ALLOWED_PLUGINS'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:615: [PIN-YML-006] Invalid value 'Embedding'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:637: [PIN-YML-006] Invalid value 'If'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:643: [PIN-YML-006] Invalid value 'image'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:652: [PIN-YML-006] Invalid value 'security'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:690: [PIN-YML-006] Invalid value 'RAG'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:707: [PIN-YML-006] Invalid value 'RAG'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:710: [PIN-YML-006] Invalid value 'Add'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:716: [PIN-YML-006] Invalid value 'Create'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:724: [PIN-YML-006] Invalid value 'Top'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:727: [PIN-YML-006] Invalid value 'ParserOutput'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:728: [PIN-YML-006] Invalid value 'Add'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:729: [PIN-YML-006] Invalid value 'Full'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:743: [PIN-YML-006] Invalid value 'extra'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:744: [PIN-YML-006] Invalid value 'DoxBaseModel'. Must be one of: uv, npm, cargo, go, poetry, pipenv
/home/lasse/Dropbox/python/omat/doxstrux/PYDANTIC_SCHEMA.md:746: [PIN-YML-006] Invalid value 'Switch'. Must be one of: uv, npm, cargo, go, poetry, pipenv
